site,date,treatment,design,height,tile_type,replicate,tile_id,oysters
brisbane_waters,15/9/23,uncaged,T1,3,T1-H03,1,T1-H03-1-un-BW,0
brisbane_waters,15/9/23,uncaged,T1,3,T1-H03,2,T1-H03-2-un-BW,0
brisbane_waters,15/9/23,uncaged,T1,3,T1-H03,3,T1-H03-3-un-BW,0
brisbane_waters,15/9/23,uncaged,T1,3,T1-H03,4,T1-H03-4-un-BW,0
brisbane_waters,15/9/23,uncaged,T1,3,T1-H03,5,T1-H03-5-un-BW,0
brisbane_waters,15/9/23,uncaged,T1,4,T1-H04,1,T1-H04-1-un-BW,0
brisbane_waters,15/9/23,uncaged,T1,4,T1-H04,2,T1-H04-2-un-BW,1
brisbane_waters,15/9/23,uncaged,T1,4,T1-H04,3,T1-H04-3-un-BW,0
brisbane_waters,15/9/23,uncaged,T1,4,T1-H04,4,T1-H04-4-un-BW,0
brisbane_waters,15/9/23,uncaged,T1,4,T1-H04,5,T1-H04-5-un-BW,0
brisbane_waters,15/9/23,uncaged,T1,6,T1-H06,1,T1-H06-1-un-BW,0
brisbane_waters,15/9/23,uncaged,T1,6,T1-H06,2,T1-H06-2-un-BW,0
brisbane_waters,15/9/23,uncaged,T1,6,T1-H06,3,T1-H06-3-un-BW,0
brisbane_waters,15/9/23,uncaged,T1,6,T1-H06,4,T1-H06-4-un-BW,1
brisbane_waters,15/9/23,uncaged,T1,6,T1-H06,5,T1-H06-5-un-BW,0
brisbane_waters,15/9/23,uncaged,T1,12,T1-H12,1,T1-H12-1-un-BW,0
brisbane_waters,15/9/23,uncaged,T1,12,T1-H12,2,T1-H12-2-un-BW,0
brisbane_waters,15/9/23,uncaged,T1,12,T1-H12,3,T1-H12-3-un-BW,0
brisbane_waters,15/9/23,uncaged,T1,12,T1-H12,4,T1-H12-4-un-BW,2
brisbane_waters,15/9/23,uncaged,T1,12,T1-H12,5,T1-H12-5-un-BW,3
brisbane_waters,15/9/23,uncaged,T2,3,T2-H03,1,T2-H03-1-un-BW,0
brisbane_waters,15/9/23,uncaged,T2,3,T2-H03,2,T2-H03-2-un-BW,0
brisbane_waters,15/9/23,uncaged,T2,3,T2-H03,3,T2-H03-3-un-BW,0
brisbane_waters,15/9/23,uncaged,T2,3,T2-H03,4,T2-H03-4-un-BW,1
brisbane_waters,15/9/23,uncaged,T2,3,T2-H03,5,T2-H03-5-un-BW,0
brisbane_waters,15/9/23,uncaged,T2,4,T2-H04,1,T2-H04-1-un-BW,1
brisbane_waters,15/9/23,uncaged,T2,4,T2-H04,2,T2-H04-2-un-BW,1
brisbane_waters,15/9/23,uncaged,T2,4,T2-H04,3,T2-H04-3-un-BW,3
brisbane_waters,15/9/23,uncaged,T2,4,T2-H04,4,T2-H04-4-un-BW,2
brisbane_waters,15/9/23,uncaged,T2,4,T2-H04,5,T2-H04-5-un-BW,1
